module,file,group,importance,lines,parser_error,macro_rules_sites,function_sites_ast,exec_function_sites,exec_body_sites,exec_signature_sites,exec_body_post_sites,exec_body_requires_only_sites,exec_body_no_contract_sites,public_exec_body_sites,public_exec_body_post_sites,public_exec_body_requires_only_sites,public_exec_body_no_contract_sites,public_exec_body_no_post_sites,exec_contract_sites,exec_post_sites,trait_exec_contract_sites,public_exec_no_post_sites,assume_spec_sites,assume_spec_with_post_sites,assume_spec_without_post_sites,model_spec_fn_sites,proof_fn_sites,axiom_fn_sites,requires_clause_sites,ensures_clause_sites,returns_clause_sites,default_ensures_sites,external_trait_spec_sites,external_type_spec_sites,external_body_sites,view_impl_sites,deep_view_impl_sites,broadcast_group_sites,total_contract_sites,total_spec_sites
std_specs::borrow,std_specs/borrow.rs,Rust standard-library specs,medium,103,False,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,3,3,0,0,6
std_specs::btree,std_specs/btree.rs,Rust standard-library specs,high,977,True,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,49,6,20,4,50,0,0,0,6,6,2,2,1,24,99
std_specs::clone,std_specs/clone.rs,Rust standard-library specs,high,73,False,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,5,1,0,0,0,0,4,2,0,2,0,0,0,0,0,5,5
std_specs::cmp,std_specs/cmp.rs,Rust standard-library specs,critical,527,False,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,10,39,0,0,1,25,0,8,4,1,1,0,0,0,14,53
std_specs::control_flow,std_specs/control_flow.rs,Rust standard-library specs,medium,74,True,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,1,0,0,5,0,0,0,2,1,0,0,1,4,6
std_specs::convert,std_specs/convert.rs,Rust standard-library specs,high,182,False,2,16,4,0,4,0,0,0,0,0,0,0,0,4,4,4,0,5,3,2,16,0,0,0,7,0,0,4,1,1,0,0,0,7,23
std_specs::core,std_specs/core.rs,Rust standard-library specs,medium,224,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,2,5,0,0,20,6,3,0,0,0,4,7
std_specs::default,std_specs/default.rs,Rust standard-library specs,high,83,False,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,0,0,0,0,6,0,0,1,0,0,0,0,0,6,6
std_specs::hash,std_specs/hash.rs,Rust standard-library specs,critical,1553,True,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,64,41,2,4,85,4,0,2,11,14,1,0,1,45,152
std_specs::iter,std_specs/iter.rs,Rust standard-library specs,critical,540,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,39,0,2,3,8,0,5,5,1,1,0,0,1,1,42
std_specs::manually_drop,std_specs/manually_drop.rs,Rust standard-library specs,medium,65,True,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,1,0,3,2,0,0,1,1,1,0,1,4,8
std_specs::maybe_uninit,std_specs/maybe_uninit.rs,Rust standard-library specs,high,59,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,0,0,3,4,1,0,0,1,1,0,0,0,5,9
std_specs,std_specs/mod.rs,Rust standard-library specs,medium,44,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
std_specs::nonzero,std_specs/nonzero.rs,Rust standard-library specs,medium,177,True,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,17,0,3,2,5,2,0,1,1,1,1,0,1,4,24
std_specs::num,std_specs/num.rs,Rust standard-library specs,critical,474,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,34,16,13,0,0,0,4,30,0,0,0,0,0,0,0,34,47
std_specs::ops,std_specs/ops.rs,Rust standard-library specs,critical,514,True,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,2,17,0,0,2,12,0,0,2,0,0,0,0,0,10,27
std_specs::option,std_specs/option.rs,Rust standard-library specs,critical,412,True,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,3,22,7,1,10,24,0,0,0,0,0,0,0,0,20,50
std_specs::range,std_specs/range.rs,Rust standard-library specs,critical,658,True,1,57,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,18,18,0,61,1,1,0,20,0,0,1,7,1,1,0,1,18,81
std_specs::result,std_specs/result.rs,Rust standard-library specs,critical,284,True,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,19,8,0,9,14,0,0,0,0,0,0,0,0,10,37
std_specs::slice,std_specs/slice.rs,Rust standard-library specs,critical,265,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,2,17,1,0,5,14,1,0,0,1,1,0,0,1,13,31
std_specs::smart_ptrs,std_specs/smart_ptrs.rs,Rust standard-library specs,high,78,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,10
std_specs::vec,std_specs/vec.rs,Rust standard-library specs,critical,535,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,29,1,20,8,2,11,41,0,0,0,3,5,0,0,1,29,59
std_specs::vecdeque,std_specs/vecdeque.rs,Rust standard-library specs,high,342,True,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,16,3,0,3,22,0,0,0,2,2,1,1,1,19,38
string,string.rs,Runtime collections and data,high,489,True,0,43,20,10,10,10,0,0,0,0,0,0,0,10,10,0,10,16,16,0,17,4,2,7,29,3,0,0,2,9,2,2,2,26,49
thread,thread.rs,Concurrency and prophecy,specialized,273,True,0,15,5,5,0,3,0,2,3,3,0,0,0,3,3,0,0,0,0,0,4,0,6,3,8,0,0,0,0,8,0,0,0,3,13
tokens,tokens.rs,Resources and protocols,specialized,851,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,43,0,24,37,0,0,0,0,0,0,0,0,0,85
utf8,utf8.rs,Runtime collections and data,high,1129,False,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,33,0,29,33,0,0,0,0,0,0,0,1,0,79
view,view.rs,Mathematical foundations,critical,344,True,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,13,13,0,0,24
vstd,vstd.rs,Infrastructure,support,161,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
wrapping,wrapping.rs,Runtime collections and data,medium,118,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13
