project,source_repo,source_path,source_line,type_base,fn,source_visibility,raw_eval_match,raw_pub,raw_concrete,raw_abstract,raw_file,exclusion_reason
anvil-library,anvil-verifier/anvil,src/vstd_ext/string_view.rs,35,,starts_with,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
anvil-library,anvil-verifier/anvil,src/vstd_ext/string_view.rs,54,,bool_to_string,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
anvil-library,anvil-verifier/anvil,src/vstd_ext/string_view.rs,83,,dash_free_exec,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
anvil-library,anvil-verifier/anvil,src/vstd_ext/vec_lib.rs,7,,verus_clone,priv,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
anvil-library,anvil-verifier/anvil,src/vstd_ext/vec_lib.rs,11,,vec_filter,priv,exact_project_fn_type,priv,concrete_failed,N/A (not pub),verusage/source-projects/anvil-library/verified/vstd_exd/vec_lib/vec_lib.rs,raw_eval_private_not_public_api
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/exec/reconciler.rs,65,,reconcile_init_state,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/exec/reconciler.rs,74,,reconcile_done,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/exec/reconciler.rs,83,,reconcile_error,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/exec/reconciler.rs,92,,reconcile_core,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/exec/reconciler.rs,237,,error_state,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/exec/reconciler.rs,246,,make_owner_references,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/exec/reconciler.rs,263,,objects_to_pods,priv,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/exec/reconciler.rs,345,,filter_pods,priv,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/exec/reconciler.rs,397,,has_vrs_prefix,priv,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/exec/reconciler.rs,414,,pod_generate_name,priv,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/exec/reconciler.rs,422,,make_pod,priv,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/exec/reconciler.rs,450,,update_vrs_replicas,priv,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/exec/reconciler.rs,481,,filter_by_controller_owner,priv,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/exec/reconciler.rs,523,,is_controller_owner,priv,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/trusted/exec_types.rs,34,VReplicaSet,well_formed,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/trusted/exec_types.rs,42,VReplicaSet,spec,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/trusted/exec_types.rs,49,VReplicaSet,status,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/trusted/exec_types.rs,61,VReplicaSet,controller_owner_ref,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/trusted/exec_types.rs,69,VReplicaSet,set_spec,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/trusted/exec_types.rs,76,VReplicaSet,set_status,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/trusted/exec_types.rs,82,VReplicaSet,state_validation,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/trusted/exec_types.rs,126,VReplicaSetSpec,replicas,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/trusted/exec_types.rs,135,VReplicaSetSpec,selector,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/trusted/exec_types.rs,142,VReplicaSetSpec,template,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/trusted/exec_types.rs,154,VReplicaSetSpec,set_replicas,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/trusted/exec_types.rs,161,VReplicaSetSpec,set_selector,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/trusted/exec_types.rs,168,VReplicaSetSpec,set_template,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/trusted/exec_types.rs,177,VReplicaSetStatus,replicas,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/trusted/exec_types.rs,184,VReplicaSetStatus,set_replicas,pub,none,,,,,project_not_in_public_determinism_run
anvil-controller,anvil-verifier/anvil,src/controllers/vreplicaset_controller/trusted/step.rs,18,VReplicaSetReconcileStep,clone,priv,none,,,,,project_not_in_public_determinism_run
ironkv,verus-lang/verified-ironkv,ironsht/src/args_t.rs,23,,clone_vec_u8,pub,exact_project_fn_type,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),verusage/source-projects/ironkv/verified/host_impl_v/host_impl_v__impl2__host_model_next_set_request.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/args_t.rs,47,,clone_arg,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/cmessage_v.rs,43,,clone_optional_value,pub,exact_project_fn_type,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),verusage/source-projects/ironkv/verified/host_impl_v/host_impl_v__impl2__host_model_next_set_request.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/cmessage_v.rs,53,,is_key_valid,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/cmessage_v.rs,60,,is_value_valid,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/cmessage_v.rs,108,CMessage,clone_value,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/cmessage_v.rs,126,CMessage,clone_up_to_view,pub,exact_project_fn_type,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),verusage/source-projects/ironkv/verified/single_delivery_model_v/single_delivery_model_v__impl2__send_single_cmessage.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/cmessage_v.rs,154,CMessage,is_message_marshallable,pub,exact_project_fn_type,pub,concrete_verified_clean,verified,verusage/source-projects/ironkv/verified/host_impl_v/host_impl_v__impl2__host_model_next_delegate.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/cmessage_v.rs,248,CSingleMessage,clone_up_to_view,pub,exact_project_fn_type,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),verusage/source-projects/ironkv/verified/single_delivery_model_v/single_delivery_model_v__impl2__retransmit_un_acked_packets_for_dst.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/cmessage_v.rs,272,CSingleMessage,is_marshallable,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,45,Ordering,is_eq,pub,exact_project_fn_type,pub,concrete_verified_clean,verified,verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl3__find_key.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,51,Ordering,is_ne,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,57,Ordering,is_lt,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,63,Ordering,is_gt,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,69,Ordering,is_le,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,75,Ordering,is_ge,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,128,StrictlyOrderedVec,new,priv,exact_project_fn_type,priv,concrete_verified_with_assumes,N/A (not pub),verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl3__new.rs,raw_eval_private_not_public_api
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,135,StrictlyOrderedVec,len,priv,exact_project_fn_type,priv,concrete_verified_clean,N/A (not pub),verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl3__erase.rs,raw_eval_private_not_public_api
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,142,StrictlyOrderedVec,index,priv,exact_project_fn_type,priv,concrete_verified_clean,N/A (not pub),verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl3__erase.rs,raw_eval_private_not_public_api
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,149,StrictlyOrderedVec,set,priv,exact_project_fn_type,priv,concrete_verified_with_assumes,N/A (not pub),verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl1_set.rs,raw_eval_private_not_public_api
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,169,StrictlyOrderedVec,remove,priv,exact_project_fn_type,priv,concrete_verified_with_assumes,N/A (not pub),verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl1_erase.rs,raw_eval_private_not_public_api
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,198,StrictlyOrderedVec,erase,priv,exact_project_fn_type,priv,concrete_verified_with_assumes,N/A (not pub),verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl1_erase.rs,raw_eval_private_not_public_api
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,286,StrictlyOrderedVec,insert,priv,exact_project_fn_type,priv,concrete_verified_with_assumes,N/A (not pub),verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl1_insert.rs,raw_eval_private_not_public_api
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,334,KeyIterator,new,pub,exact_project_fn_type,pub,concrete_verified_clean,verified,verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl3__greatest_lower_bound_index.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,345,KeyIterator,end,pub,exact_project_fn_type,pub,concrete_verified_clean,verified,verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl3__erase.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,356,KeyIterator,is_end,pub,exact_project_fn_type,pub,concrete_verified_clean,verified,verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl3__choose_gap_violator.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,369,KeyIterator,get,pub,exact_project_fn_type,pub,concrete_verified_clean,verified,verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl3__choose_gap_violator.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,388,KeyIterator,lt,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,410,KeyIterator,above,priv,exact_project_fn_type,priv,concrete_verified_clean,N/A (not pub),verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl3__erase.rs,raw_eval_private_not_public_api
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,422,,vec_erase,pub,exact_project_fn_type,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl3__erase.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,517,StrictlyOrderedMap,new,priv,exact_project_fn_type,priv,concrete_verified_with_assumes,N/A (not pub),verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl4__new.rs,raw_eval_private_not_public_api
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,534,StrictlyOrderedMap,find_key,priv,exact_project_fn_type,priv,concrete_verified_clean,N/A (not pub),verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl3__find_key.rs,raw_eval_private_not_public_api
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,566,StrictlyOrderedMap,values_agree,priv,exact_project_fn_type,priv,concrete_verified_with_assumes,N/A (not pub),verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl3__keys_in_index_range_agree.rs,raw_eval_private_not_public_api
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,604,StrictlyOrderedMap,keys_in_index_range_agree,priv,exact_project_fn_type,priv,concrete_verified_with_assumes,N/A (not pub),verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl3__keys_in_index_range_agree.rs,raw_eval_private_not_public_api
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,675,StrictlyOrderedMap,get,priv,project_fn_only,,,,,type_context_mismatch_or_duplicate_name; raw has same project/function but different type_base
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,690,StrictlyOrderedMap,set,priv,exact_project_fn_type,priv,concrete_verified_with_assumes,N/A (not pub),verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl3__set.rs,raw_eval_private_not_public_api
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,760,StrictlyOrderedMap,greatest_lower_bound_index,priv,exact_project_fn_type,priv,concrete_verified_with_assumes,N/A (not pub),verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl3__greatest_lower_bound_index.rs,raw_eval_private_not_public_api
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,855,StrictlyOrderedMap,greatest_lower_bound,priv,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,868,StrictlyOrderedMap,erase,priv,exact_project_fn_type,priv,concrete_failed,N/A (not pub),verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl4__set.rs,raw_eval_private_not_public_api
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,1053,DelegationMap,new,pub,exact_project_fn_type,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),verusage/source-projects/ironkv/verified/host_impl_v/host_impl_v__impl2__real_init_impl.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,1076,DelegationMap,get_internal,priv,exact_project_fn_type,priv,concrete_verified_with_assumes,N/A (not pub),verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl4__set.rs,raw_eval_private_not_public_api
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,1102,DelegationMap,get,pub,exact_project_fn_type,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),verusage/source-projects/ironkv/verified/host_impl_v/host_impl_v__impl2__host_model_next_get_request.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,1114,DelegationMap,set,pub,exact_project_fn_type,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),verusage/source-projects/ironkv/verified/host_impl_v/host_impl_v__impl2__host_model_next_delegate.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,1434,DelegationMap,range_consistent_impl,pub,exact_project_fn_type,pub,concrete_failed,N/A (failed),verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl4__range_consistent_impl.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/delegation_map_v.rs,1700,DelegationMap,delegate_for_key_range_is_host_impl,pub,exact_project_fn_type,pub,concrete_verified_clean,verified,verusage/source-projects/ironkv/verified/delegation_map_v/delegation_map_v__impl5__delegate_for_key_range_is_host_impl.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/endpoint_hashmap_t.rs,30,HashMap,new,pub,exact_project_fn_type,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),verusage/source-projects/ironkv/verified/single_delivery_model_v/single_delivery_model_impl2__maybe_ack_packet_impl.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/endpoint_hashmap_t.rs,37,HashMap,insert,pub,exact_project_fn_type,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),verusage/source-projects/ironkv/verified/single_delivery_model_v/single_delivery_model_impl2__maybe_ack_packet_impl.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/endpoint_hashmap_t.rs,61,HashMap,get,pub,exact_project_fn_type,pub,concrete_failed,N/A (failed),verusage/source-projects/ironkv/verified/single_delivery_model_v/single_delivery_model_v__impl2__retransmit_un_acked_packets_for_dst.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/endpoint_hashmap_t.rs,86,HashMap,put,pub,project_fn_only,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),verusage/source-projects/ironkv/verified/single_delivery_model_v/single_delivery_model_impl2__receive_ack_impl.rs,type_context_mismatch_or_duplicate_name; raw has same project/function but different type_base
ironkv,verus-lang/verified-ironkv,ironsht/src/endpoint_hashmap_t.rs,103,HashMap,swap,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/endpoint_hashmap_t.rs,118,HashMap,keys,pub,exact_project_fn_type,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),verusage/source-projects/ironkv/verified/single_delivery_model_v/single_delivery_model_v__impl2__retransmit_un_acked_packets.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/hashmap_t.rs,37,CKeyHashMap,new,pub,project_fn_only,,,,,type_context_mismatch_or_duplicate_name; raw has same project/function but different type_base
ironkv,verus-lang/verified-ironkv,ironsht/src/hashmap_t.rs,44,CKeyHashMap,len,pub,exact_project_fn_type,pub,concrete_verified_clean,verified,verusage/source-projects/ironkv/verified/host_impl_v/host_impl_v__impl2__host_model_next_shard.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/hashmap_t.rs,51,CKeyHashMap,insert,pub,exact_project_fn_type,pub,concrete_failed,N/A (failed),verusage/source-projects/ironkv/verified/host_impl_v/host_impl_v__impl2__host_model_next_set_request.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/hashmap_t.rs,61,CKeyHashMap,remove,pub,exact_project_fn_type,pub,concrete_failed,N/A (failed),verusage/source-projects/ironkv/verified/host_impl_v/host_impl_v__impl2__host_model_next_set_request.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/hashmap_t.rs,68,CKeyHashMap,get,pub,project_fn_only,,,,,type_context_mismatch_or_duplicate_name; raw has same project/function but different type_base
ironkv,verus-lang/verified-ironkv,ironsht/src/hashmap_t.rs,83,CKeyHashMap,bulk_update,pub,exact_project_fn_type,pub,concrete_failed,N/A (failed),verusage/source-projects/ironkv/verified/host_impl_v/host_impl_v__impl2__host_model_next_delegate.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/hashmap_t.rs,94,CKeyHashMap,bulk_remove,pub,exact_project_fn_type,pub,concrete_failed,N/A (failed),verusage/source-projects/ironkv/verified/host_impl_v/host_impl_v__impl2__host_model_next_shard.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/hashmap_t.rs,107,CKeyHashMap,to_vec,pub,exact_project_fn_type,pub,concrete_verified_clean,failed (B-uninterp),verusage/source-projects/ironkv/verified/host_impl_v/host_impl_v__impl2__deliver_packet_seq.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/hashmap_t.rs,119,CKeyHashMap,from_vec,pub,exact_project_fn_type,pub,concrete_verified_clean,verified,verusage/source-projects/ironkv/verified/marshal_ironsht_specific_v/marshal_ironsht_specific_v__impl2__deserialize.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/hashmap_t.rs,128,CKeyHashMap,lemma_to_vec,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/hashmap_t.rs,140,CKeyHashMap,lemma_to_vec_view,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/hashmap_t.rs,148,CKeyHashMap,lemma_from_vec,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/hashmap_t.rs,154,CKeyHashMap,clone_up_to_view,pub,project_fn_only,,,,,type_context_mismatch_or_duplicate_name; raw has same project/function but different type_base
ironkv,verus-lang/verified-ironkv,ironsht/src/hashmap_t.rs,162,CKeyHashMap,valid,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/hashmap_t.rs,185,CKeyHashMap,filter,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/host_impl_t.rs,105,HostState,init_impl,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/host_impl_t.rs,139,HostState,next_impl,pub,none,,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks
ironkv,verus-lang/verified-ironkv,ironsht/src/host_impl_v.rs,97,Parameters,static_params,pub,exact_project_fn_type,pub,concrete_verified_clean,verified,verusage/source-projects/ironkv/verified/single_delivery_model_v/single_delivery_model_v__impl2__send_single_cmessage.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/host_impl_v.rs,150,,make_empty_event_results,pub,exact_project_fn_type,pub,concrete_verified_clean,verified,verusage/source-projects/ironkv/verified/host_impl_v/host_impl_v__impl2__process_received_packet_next.rs,included_in_pub_eval_raw
ironkv,verus-lang/verified-ironkv,ironsht/src/host_impl_v.rs,171,,make_send_only_event_results,pub,exact_project_fn_type,pub,concrete_verified_clean,verified,verusage/source-projects/ironkv/verified/host_impl_v/host_impl_v__impl2__process_received_packet_next.rs,included_in_pub_eval_raw
