project,fn,representative_type_base,n_type_contexts,source_visibility_any_pub,reduction_status,raw_pub,raw_concrete,raw_abstract,all_reasons,type_bases_sample,source_paths_sample
anvil-controller,reconcile_init_state,,1,yes,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,,src/controllers/vreplicaset_controller/exec/reconciler.rs
anvil-controller,replicas,VReplicaSetSpec,2,yes,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:2,VReplicaSetSpec;VReplicaSetStatus,src/controllers/vreplicaset_controller/trusted/exec_types.rs
anvil-controller,selector,VReplicaSetSpec,1,yes,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,VReplicaSetSpec,src/controllers/vreplicaset_controller/trusted/exec_types.rs
anvil-controller,set_replicas,VReplicaSetSpec,2,yes,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:2,VReplicaSetSpec;VReplicaSetStatus,src/controllers/vreplicaset_controller/trusted/exec_types.rs
anvil-controller,set_selector,VReplicaSetSpec,1,yes,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,VReplicaSetSpec,src/controllers/vreplicaset_controller/trusted/exec_types.rs
anvil-controller,set_spec,VReplicaSet,1,yes,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,VReplicaSet,src/controllers/vreplicaset_controller/trusted/exec_types.rs
anvil-controller,set_status,VReplicaSet,1,yes,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,VReplicaSet,src/controllers/vreplicaset_controller/trusted/exec_types.rs
anvil-controller,set_template,VReplicaSetSpec,1,yes,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,VReplicaSetSpec,src/controllers/vreplicaset_controller/trusted/exec_types.rs
anvil-controller,spec,VReplicaSet,1,yes,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,VReplicaSet,src/controllers/vreplicaset_controller/trusted/exec_types.rs
anvil-controller,state_validation,VReplicaSet,1,yes,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,VReplicaSet,src/controllers/vreplicaset_controller/trusted/exec_types.rs
anvil-controller,status,VReplicaSet,1,yes,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,VReplicaSet,src/controllers/vreplicaset_controller/trusted/exec_types.rs
anvil-controller,template,VReplicaSetSpec,1,yes,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,VReplicaSetSpec,src/controllers/vreplicaset_controller/trusted/exec_types.rs
anvil-controller,update_vrs_replicas,,1,no,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,,src/controllers/vreplicaset_controller/exec/reconciler.rs
anvil-controller,well_formed,VReplicaSet,1,yes,project_not_in_public_determinism_run,,,,project_not_in_public_determinism_run:1,VReplicaSet,src/controllers/vreplicaset_controller/trusted/exec_types.rs
anvil-library,bool_to_string,,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,,src/vstd_ext/string_view.rs
anvil-library,clone,StringMap,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,StringMap,src/vstd_ext/string_map.rs
anvil-library,contains_key,StringMap,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,StringMap,src/vstd_ext/string_map.rs
anvil-library,dash_free_exec,,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,,src/vstd_ext/string_view.rs
anvil-library,empty,StringMap,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,StringMap,src/vstd_ext/string_map.rs
anvil-library,extend,StringMap,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,StringMap,src/vstd_ext/string_map.rs
anvil-library,get,StringMap,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,StringMap,src/vstd_ext/string_map.rs
anvil-library,get_uncloned,StringMap,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,StringMap,src/vstd_ext/string_map.rs
anvil-library,i32_to_string,,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,,src/vstd_ext/string_view.rs
anvil-library,insert,StringMap,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,StringMap,src/vstd_ext/string_map.rs
anvil-library,keys,StringMap,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,StringMap,src/vstd_ext/string_map.rs
anvil-library,len,StringMap,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,StringMap,src/vstd_ext/string_map.rs
anvil-library,new,StringMap,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,StringMap,src/vstd_ext/string_map.rs
anvil-library,remove,StringMap,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,StringMap,src/vstd_ext/string_map.rs
anvil-library,starts_with,,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,,src/vstd_ext/string_view.rs
anvil-library,string_equal,,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,,src/vstd_ext/string_view.rs
anvil-library,usize_to_string,,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,,src/vstd_ext/string_view.rs
anvil-library,vec_filter,,1,no,raw_eval_private_not_public_api,priv,concrete_failed,N/A (not pub),raw_eval_private_not_public_api:1,,src/vstd_ext/vec_lib.rs
anvil-library,verus_clone,,1,no,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,,src/vstd_ext/vec_lib.rs
atmosphere,NoNextThreadNew,SyscallReturnStruct,1,yes,included_in_pub_eval_raw,pub,concrete_verified_clean,verified,included_in_pub_eval_raw:1,SyscallReturnStruct,kernel/verified/define.rs
atmosphere,NoSwitchNew,SyscallReturnStruct,1,yes,included_in_pub_eval_raw,pub,concrete_verified_clean,verified,included_in_pub_eval_raw:1,SyscallReturnStruct,kernel/verified/define.rs
atmosphere,SwitchNew,SyscallReturnStruct,1,yes,included_in_pub_eval_raw,pub,concrete_verified_clean,verified,included_in_pub_eval_raw:1,SyscallReturnStruct,kernel/verified/define.rs
atmosphere,add_io_mapping_4k,PageAllocator,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,PageAllocator,kernel/verified/allocator/page_allocator_spec_impl.rs
atmosphere,add_mapping_4k,PageAllocator,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,PageAllocator,kernel/verified/allocator/page_allocator_spec_impl.rs
atmosphere,adopt_dom0,MMUManager,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,MMUManager,kernel/verified/memory_manager/mmu_init.rs
atmosphere,alloc_and_map,Kernel,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,Kernel,kernel/verified/kernel/create_and_map_pages.rs
atmosphere,alloc_and_map_2m,PageAllocator,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,PageAllocator,kernel/verified/allocator/page_allocator_spec_impl.rs
atmosphere,alloc_and_map_4k,PageAllocator,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,PageAllocator,kernel/verified/allocator/page_allocator_spec_impl.rs
atmosphere,alloc_and_map_io,Kernel,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,Kernel,kernel/verified/kernel/create_and_map_pages.rs
atmosphere,alloc_and_map_io_4k,PageAllocator,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,PageAllocator,kernel/verified/allocator/page_allocator_spec_impl.rs
atmosphere,alloc_iommu_table,MemoryManager,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,MemoryManager,kernel/verified/memory_manager/spec_impl.rs
atmosphere,alloc_page_2m,PageAllocator,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,PageAllocator,kernel/verified/allocator/page_allocator_spec_impl.rs
atmosphere,alloc_page_4k,PageAllocator,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,PageAllocator,kernel/verified/allocator/page_allocator_spec_impl.rs
atmosphere,alloc_page_4k_for_new_container,PageAllocator,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,PageAllocator,kernel/verified/allocator/page_allocator_spec_impl.rs
atmosphere,alloc_page_table,MemoryManager,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,MemoryManager,kernel/verified/memory_manager/spec_impl.rs
atmosphere,block_running_thread,ProcessManager,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,ProcessManager,kernel/verified/process_manager/impl_base.rs
atmosphere,block_running_thread_and_change_queue_state,ProcessManager,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,ProcessManager,kernel/verified/process_manager/impl_base.rs
atmosphere,block_running_thread_and_change_queue_state_and_set_trap_frame,ProcessManager,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,ProcessManager,kernel/verified/process_manager/impl_base.rs
atmosphere,block_running_thread_and_set_trap_frame,ProcessManager,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,ProcessManager,kernel/verified/process_manager/impl_base.rs
atmosphere,capacity,ArrayVec,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,ArrayVec,kernel/verified/array_vec.rs
atmosphere,check_address_space_va_range_free,Kernel,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,Kernel,kernel/verified/kernel/create_and_map_pages.rs
atmosphere,check_address_space_va_range_shareable,Kernel,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,Kernel,kernel/verified/kernel/create_and_share_pages.rs
atmosphere,check_io_space_va_range_free,Kernel,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,Kernel,kernel/verified/kernel/create_and_map_pages.rs
atmosphere,container_check_is_ancestor,ProcessManager,1,yes,included_in_pub_eval_raw,pub,concrete_verified_clean,verified,included_in_pub_eval_raw:1,ProcessManager,kernel/verified/process_manager/impl_base.rs
atmosphere,container_insert_cpu,,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,,kernel/verified/process_manager/container_util_t.rs
atmosphere,container_perms_subset_remove,,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,,kernel/verified/process_manager/container_util_t.rs
atmosphere,container_perms_update_subtree_set,,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,,kernel/verified/process_manager/container_util_t.rs
atmosphere,container_pop_endpoint,,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,,kernel/verified/process_manager/container_util_t.rs
atmosphere,container_push_child,,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,,kernel/verified/process_manager/container_util_t.rs
atmosphere,container_push_endpoint,,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,,kernel/verified/process_manager/container_util_t.rs
atmosphere,container_push_proc,,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,,kernel/verified/process_manager/container_util_t.rs
atmosphere,container_remove_child,,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,,kernel/verified/process_manager/container_util_t.rs
atmosphere,container_remove_cpu,,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,,kernel/verified/process_manager/container_util_t.rs
atmosphere,container_remove_proc,,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,,kernel/verified/process_manager/container_util_t.rs
atmosphere,container_set_owned_threads,,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,,kernel/verified/process_manager/container_util_t.rs
atmosphere,container_set_quota,,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,,kernel/verified/process_manager/container_util_t.rs
atmosphere,container_set_quota_mem_4k,,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,,kernel/verified/process_manager/container_util_t.rs
atmosphere,container_set_root_proc,,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,,kernel/verified/process_manager/container_util_t.rs
atmosphere,container_to_page,,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,,kernel/verified/process_manager/container_util_t.rs
atmosphere,container_tree_check_is_ancestor,,1,yes,included_in_pub_eval_raw,pub,concrete_verified_clean,verified,included_in_pub_eval_raw:1,,kernel/verified/process_manager/container_tree.rs
atmosphere,create_entry,Kernel,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,Kernel,kernel/verified/kernel/mem_util.rs
atmosphere,create_entry_and_alloc_and_map,Kernel,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,Kernel,kernel/verified/kernel/create_and_map_pages.rs
atmosphere,create_entry_and_alloc_and_map_io,Kernel,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,Kernel,kernel/verified/kernel/create_and_map_pages.rs
atmosphere,create_entry_and_share,Kernel,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,Kernel,kernel/verified/kernel/create_and_share_pages.rs
atmosphere,create_entry_l2,PageTable,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,PageTable,kernel/verified/pagetable/pagetable_impl_base.rs
atmosphere,create_entry_l3,PageTable,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,PageTable,kernel/verified/pagetable/pagetable_impl_base.rs
atmosphere,create_entry_l4,PageTable,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,PageTable,kernel/verified/pagetable/pagetable_impl_base.rs
atmosphere,create_iommu_table_entry,Kernel,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,Kernel,kernel/verified/kernel/mem_util.rs
atmosphere,create_iommu_table_l2_entry,MemoryManager,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,MemoryManager,kernel/verified/memory_manager/spec_impl.rs
atmosphere,create_iommu_table_l3_entry,MemoryManager,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,MemoryManager,kernel/verified/memory_manager/spec_impl.rs
atmosphere,create_iommu_table_l4_entry,MemoryManager,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,MemoryManager,kernel/verified/memory_manager/spec_impl.rs
atmosphere,create_pagetable_l2_entry,MemoryManager,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,MemoryManager,kernel/verified/memory_manager/spec_impl.rs
atmosphere,create_pagetable_l3_entry,MemoryManager,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,MemoryManager,kernel/verified/memory_manager/spec_impl.rs
atmosphere,create_pagetable_l4_entry,MemoryManager,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,MemoryManager,kernel/verified/memory_manager/spec_impl.rs
atmosphere,drop_endpoint,ProcessManager,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,ProcessManager,kernel/verified/process_manager/impl_drop_enpoints.rs
atmosphere,empty,PageEntry,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,PageEntry,kernel/verified/pagetable/entry.rs
atmosphere,endpoint_add_ref,,1,yes,included_in_pub_eval_raw,pub,concrete_verified_clean,verified,included_in_pub_eval_raw:1,,kernel/verified/process_manager/endpoint_util_t.rs
atmosphere,endpoint_pop_head,,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,,kernel/verified/process_manager/endpoint_util_t.rs
atmosphere,endpoint_push,,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,,kernel/verified/process_manager/endpoint_util_t.rs
atmosphere,endpoint_push_and_set_state,,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,,kernel/verified/process_manager/endpoint_util_t.rs
atmosphere,endpoint_remove_ref,,1,yes,included_in_pub_eval_raw,pub,concrete_verified_clean,verified,included_in_pub_eval_raw:1,,kernel/verified/process_manager/endpoint_util_t.rs
atmosphere,endpoint_remove_thread,,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,,kernel/verified/process_manager/endpoint_util_t.rs
atmosphere,endpoint_set_owning_container,,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,,kernel/verified/process_manager/endpoint_util_t.rs
atmosphere,endpoint_to_page,,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,,kernel/verified/process_manager/endpoint_util_t.rs
atmosphere,flush_tlb_4kentry,,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,,kernel/verified/pagetable/pagemap_util_t.rs
atmosphere,free_page_2m,PageAllocator,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,PageAllocator,kernel/verified/allocator/page_allocator_spec_impl.rs
atmosphere,free_page_4k,PageAllocator,1,yes,included_in_pub_eval_raw,pub,concrete_failed,N/A (failed),included_in_pub_eval_raw:1,PageAllocator,kernel/verified/allocator/page_allocator_spec_impl.rs
atmosphere,free_page_table,MemoryManager,1,yes,included_in_pub_eval_raw,pub,concrete_verified_with_assumes,N/A (verified_with_assumes),included_in_pub_eval_raw:1,MemoryManager,kernel/verified/memory_manager/spec_impl.rs
atmosphere,get,Array,4,yes,included_in_pub_eval_raw,pub,concrete_verified_clean,verified,included_in_pub_eval_raw:2 | type_context_mismatch_or_duplicate_name; raw has same project/function but different type_base:2,Array;ArrayVec;PCIBitMap;PageMap,kernel/verified/array.rs;kernel/verified/array_vec.rs;kernel/verified/memory_manager/pci_bitmap.rs
atmosphere,get_address_space_va_range_none,Kernel,1,yes,included_in_pub_eval_raw,pub,concrete_verified_clean,verified,included_in_pub_eval_raw:1,Kernel,kernel/verified/kernel/mem_util.rs
atmosphere,get_container,ProcessManager,1,yes,included_in_pub_eval_raw,pub,concrete_verified_clean,verified,included_in_pub_eval_raw:1,ProcessManager,kernel/verified/process_manager/spec_proof.rs
atmosphere,get_container_by_proc_ptr,ProcessManager,1,yes,included_in_pub_eval_raw,pub,concrete_verified_clean,verified,included_in_pub_eval_raw:1,ProcessManager,kernel/verified/process_manager/spec_proof.rs
atmosphere,get_container_by_thread_ptr,ProcessManager,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,ProcessManager,kernel/verified/process_manager/spec_proof.rs
atmosphere,get_cpu,ProcessManager,1,yes,included_in_pub_eval_raw,pub,concrete_verified_clean,verified,included_in_pub_eval_raw:1,ProcessManager,kernel/verified/process_manager/spec_proof.rs
atmosphere,get_cr3_by_ioid,MemoryManager,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,MemoryManager,kernel/verified/memory_manager/spec_impl.rs
atmosphere,get_cr3_by_pcid,MemoryManager,1,yes,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks,,,,not_in_pub_fn_eval_raw; not selected/extracted as determinism target from VeruSAGE standalone tasks:1,MemoryManager,kernel/verified/memory_manager/spec_impl.rs
atmosphere,get_endpoint,ProcessManager,1,yes,included_in_pub_eval_raw,pub,concrete_verified_clean,verified,included_in_pub_eval_raw:1,ProcessManager,kernel/verified/process_manager/spec_proof.rs
atmosphere,get_endpoint_by_endpoint_idx,ProcessManager,1,yes,included_in_pub_eval_raw,pub,concrete_verified_clean,verified,included_in_pub_eval_raw:1,ProcessManager,kernel/verified/process_manager/spec_proof.rs
atmosphere,get_endpoint_ptr_by_endpoint_idx,ProcessManager,1,yes,included_in_pub_eval_raw,pub,concrete_verified_clean,verified,included_in_pub_eval_raw:1,ProcessManager,kernel/verified/process_manager/spec_proof.rs
