project,fn,representative_type_base,source_visibility_any_pub,source_paths_sample,content_check_class,explanation,unverified_definition_files_sample,unverified_mention_only_files_sample,verified_definition_files_sample,verified_mention_only_files_sample
anvil-library,len,StringMap,yes,src/vstd_ext/string_map.rs,mentioned_in_unverified_files_only,"Function name appears in unverified task files, but not as a fn definition/signature.",,commutativity_of_seq_map_and_filter.rs;empty_filter_implies_seq_pred_false_on_all_elements.rs;filtered_size_is_one_means_only_one_such_value.rs;filtered_size_is_zero_means_no_such_value.rs;injective_finite_map_implies_dom_len_is_equal_to_values_len.rs;leads_to_always_tla_forall.rs;len_is_zero_means_count_for_each_value_is_zero.rs;seq_filter_contains_implies_seq_contains.rs,,temporal_logic/leads_to_always_tla_forall.rs;vstd_exd/map_lib/injective_finite_map_implies_dom_len_is_equal_to_values_len.rs;vstd_exd/multiset_lib/filtered_size_is_one_means_only_one_such_value.rs;vstd_exd/multiset_lib/filtered_size_is_zero_means_no_such_value.rs;vstd_exd/multiset_lib/len_is_zero_means_count_for_each_value_is_zero.rs;vstd_exd/seq_lib/commutativity_of_seq_map_and_filter.rs;vstd_exd/seq_lib/empty_filter_implies_seq_pred_false_on_all_elements.rs;vstd_exd/seq_lib/map_values_to_set_eq_to_set_mk_map_values.rs
anvil-library,new,StringMap,yes,src/vstd_ext/string_map.rs,defined_in_unverified_files,Function has a fn definition/signature in one or more unverified task files.,a_to_temp_pred_equality.rs;always_and_equality.rs;always_distributed_by_and.rs;always_double.rs;always_double_equality.rs;always_implies_forall_intro.rs;always_implies_preserved_by_always.rs;always_implies_to_leads_to.rs,vec_lib.rs,temporal_logic/a_to_temp_pred_equality.rs;temporal_logic/always_and_equality.rs;temporal_logic/always_distributed_by_and.rs;temporal_logic/always_double.rs;temporal_logic/always_double_equality.rs;temporal_logic/always_implies_forall_intro.rs;temporal_logic/always_implies_preserved_by_always.rs;temporal_logic/always_implies_to_leads_to.rs,vstd_exd/vec_lib/vec_lib.rs
anvil-library,remove,StringMap,yes,src/vstd_ext/string_map.rs,mentioned_in_verified_files_only,"Function name appears in verified task files only, but not as a fn definition/signature.",,,,vstd_exd/map_lib/injective_finite_map_implies_dom_len_is_equal_to_values_len.rs;vstd_exd/multiset_lib/filtered_size_is_one_means_only_one_such_value.rs;vstd_exd/set_lib/element_in_finite_set_exists_in_set_to_seq.rs;vstd_exd/set_lib/element_in_seq_exists_in_original_finite_set.rs
anvil-library,starts_with,,yes,src/vstd_ext/string_view.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
anvil-library,string_equal,,yes,src/vstd_ext/string_view.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
anvil-library,usize_to_string,,yes,src/vstd_ext/string_view.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
anvil-library,verus_clone,,no,src/vstd_ext/vec_lib.rs,defined_in_unverified_files,Function has a fn definition/signature in one or more unverified task files.,vec_lib.rs,,vstd_exd/vec_lib/vec_lib.rs,
atmosphere,adopt_dom0,MMUManager,yes,kernel/verified/memory_manager/mmu_init.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,capacity,ArrayVec,yes,kernel/verified/array_vec.rs,defined_in_unverified_files,Function has a fn definition/signature in one or more unverified task files.,kernel__create_and_map_pages__impl0__alloc_and_map.rs;kernel__create_and_map_pages__impl0__alloc_and_map_io.rs;kernel__create_and_map_pages__impl0__check_address_space_va_range_free.rs;kernel__create_and_map_pages__impl0__check_io_space_va_range_free.rs;kernel__create_and_map_pages__impl0__range_alloc_and_map.rs;kernel__create_and_map_pages__impl0__range_alloc_and_map_io.rs;kernel__create_and_share_pages__impl0__check_address_space_va_range_shareable.rs;kernel__create_and_share_pages__impl0__create_entry_and_share.rs,,kernel/kernel__create_and_map_pages__impl0__alloc_and_map.rs;kernel/kernel__create_and_map_pages__impl0__alloc_and_map_io.rs;kernel/kernel__create_and_map_pages__impl0__check_address_space_va_range_free.rs;kernel/kernel__create_and_map_pages__impl0__check_io_space_va_range_free.rs;kernel/kernel__create_and_map_pages__impl0__range_alloc_and_map.rs;kernel/kernel__create_and_map_pages__impl0__range_alloc_and_map_io.rs;kernel/kernel__create_and_share_pages__impl0__check_address_space_va_range_shareable.rs;kernel/kernel__create_and_share_pages__impl0__create_entry_and_share.rs,
atmosphere,container_perms_subset_remove,,yes,kernel/verified/process_manager/container_util_t.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,container_remove_child,,yes,kernel/verified/process_manager/container_util_t.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,container_set_root_proc,,yes,kernel/verified/process_manager/container_util_t.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,container_to_page,,yes,kernel/verified/process_manager/container_util_t.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,empty,PageEntry,yes,kernel/verified/pagetable/entry.rs,mentioned_in_unverified_files_only,"Function name appears in unverified task files, but not as a fn definition/signature.",,allocator__page_allocator_spec_impl__impl2__alloc_and_map_2m.rs;allocator__page_allocator_spec_impl__impl2__alloc_and_map_4k.rs;allocator__page_allocator_spec_impl__impl2__alloc_and_map_io_4k.rs;allocator__page_allocator_spec_impl__impl2__alloc_page_4k_for_new_container.rs;allocator__page_allocator_spec_impl__impl2__merged_4k_to_2m.rs;allocator__page_allocator_spec_impl__impl2__remove_io_mapping_4k_helper1.rs;allocator__page_allocator_spec_impl__impl2__remove_mapping_4k_helper1.rs;allocator__page_allocator_spec_impl__impl2__remove_mapping_4k_helper2.rs,,allocator/allocator__page_allocator_spec_impl__impl2__alloc_and_map_2m.rs;allocator/allocator__page_allocator_spec_impl__impl2__alloc_and_map_4k.rs;allocator/allocator__page_allocator_spec_impl__impl2__alloc_and_map_io_4k.rs;allocator/allocator__page_allocator_spec_impl__impl2__alloc_page_4k_for_new_container.rs;allocator/allocator__page_allocator_spec_impl__impl2__merged_4k_to_2m.rs;allocator/allocator__page_allocator_spec_impl__impl2__remove_io_mapping_4k_helper1.rs;allocator/allocator__page_allocator_spec_impl__impl2__remove_mapping_4k_helper1.rs;allocator/allocator__page_allocator_spec_impl__impl2__remove_mapping_4k_helper2.rs
atmosphere,endpoint_remove_thread,,yes,kernel/verified/process_manager/endpoint_util_t.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,endpoint_set_owning_container,,yes,kernel/verified/process_manager/endpoint_util_t.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,flush_tlb_4kentry,,yes,kernel/verified/pagetable/pagemap_util_t.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,free_page_2m,PageAllocator,yes,kernel/verified/allocator/page_allocator_spec_impl.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,get_container_by_thread_ptr,ProcessManager,yes,kernel/verified/process_manager/spec_proof.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,get_cr3_by_ioid,MemoryManager,yes,kernel/verified/memory_manager/spec_impl.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,get_cr3_by_pcid,MemoryManager,yes,kernel/verified/memory_manager/spec_impl.rs,defined_in_unverified_files,Function has a fn definition/signature in one or more unverified task files.,kernel__schedule_idle_cpu__impl0__schedule_idle_cpu.rs;kernel__syscall_send_empty_try_schedule__impl0__syscall_send_empty_try_schedule.rs,,kernel/kernel__schedule_idle_cpu__impl0__schedule_idle_cpu.rs;kernel/kernel__syscall_send_empty_try_schedule__impl0__syscall_send_empty_try_schedule.rs,
atmosphere,get_ioid,RootTable,yes,kernel/verified/memory_manager/root_table.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,get_is_cpu_running,ProcessManager,yes,kernel/verified/process_manager/spec_proof.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,get_payload_as_message,IPCPayLoad,yes,kernel/verified/process_manager/thread.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,get_payload_as_page_fault,IPCPayLoad,yes,kernel/verified/process_manager/thread.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,get_payload_as_pci,IPCPayLoad,yes,kernel/verified/process_manager/thread.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,get_pci_binding,MemoryManager,yes,kernel/verified/memory_manager/spec_impl.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,get_proc_by_thread_ptr,ProcessManager,yes,kernel/verified/process_manager/spec_proof.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,get_proc_ptr_by_cpu_id,ProcessManager,yes,kernel/verified/process_manager/spec_proof.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,get_thread_ptr_by_cpu_id,ProcessManager,yes,kernel/verified/process_manager/spec_proof.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,insert,ArraySet,yes,kernel/verified/array_set.rs,mentioned_in_unverified_files_only,"Function name appears in unverified task files, but not as a fn definition/signature.",,allocator__page_allocator_spec_impl__impl2__add_io_mapping_4k.rs;allocator__page_allocator_spec_impl__impl2__add_mapping_4k.rs;allocator__page_allocator_spec_impl__impl2__alloc_and_map_2m.rs;allocator__page_allocator_spec_impl__impl2__alloc_and_map_4k.rs;allocator__page_allocator_spec_impl__impl2__alloc_and_map_io_4k.rs;allocator__page_allocator_spec_impl__impl2__alloc_page_2m.rs;allocator__page_allocator_spec_impl__impl2__alloc_page_4k.rs;allocator__page_allocator_spec_impl__impl2__alloc_page_4k_for_new_container.rs,,allocator/allocator__page_allocator_spec_impl__impl2__add_io_mapping_4k.rs;allocator/allocator__page_allocator_spec_impl__impl2__add_mapping_4k.rs;allocator/allocator__page_allocator_spec_impl__impl2__alloc_and_map_2m.rs;allocator/allocator__page_allocator_spec_impl__impl2__alloc_and_map_4k.rs;allocator/allocator__page_allocator_spec_impl__impl2__alloc_and_map_io_4k.rs;allocator/allocator__page_allocator_spec_impl__impl2__alloc_page_2m.rs;allocator/allocator__page_allocator_spec_impl__impl2__alloc_page_4k.rs;allocator/allocator__page_allocator_spec_impl__impl2__alloc_page_4k_for_new_container.rs
atmosphere,iommu_table_array_map_4k_page_t,Array,yes,kernel/verified/memory_manager/mmu_util.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,is_none,TrapFrameOption,yes,kernel/verified/trap.rs,mentioned_in_unverified_files_only,"Function name appears in unverified task files, but not as a fn definition/signature.",,kernel__create_and_share_pages__impl0__check_address_space_va_range_shareable.rs;kernel__mem_util__impl0__create_entry.rs;kernel__mem_util__impl0__create_iommu_table_entry.rs;kernel__syscall_io_mmap__impl0__syscall_io_mmap.rs;kernel__syscall_io_mmap__impl0__syscall_mmap_to_iommu_table.rs;kernel__syscall_new_container__impl0__syscall_new_container_with_endpoint.rs;kernel__syscall_new_proc__impl0__syscall_new_proc_with_endpoint.rs;kernel__syscall_new_proc_with_iommu__impl0__syscall_new_proc_with_endpoint_iommu.rs,,kernel/kernel__create_and_share_pages__impl0__check_address_space_va_range_shareable.rs;kernel/kernel__mem_util__impl0__create_entry.rs;kernel/kernel__mem_util__impl0__create_iommu_table_entry.rs;kernel/kernel__syscall_io_mmap__impl0__syscall_io_mmap.rs;kernel/kernel__syscall_io_mmap__impl0__syscall_mmap_to_iommu_table.rs;kernel/kernel__syscall_new_container__impl0__syscall_new_container_with_endpoint.rs;kernel/kernel__syscall_new_proc__impl0__syscall_new_proc_with_endpoint.rs;kernel/kernel__syscall_new_proc_with_iommu__impl0__syscall_new_proc_with_endpoint_iommu.rs
atmosphere,is_some,TrapFrameOption,yes,kernel/verified/trap.rs,mentioned_in_unverified_files_only,"Function name appears in unverified task files, but not as a fn definition/signature.",,kernel__create_and_map_pages__impl0__check_address_space_va_range_free.rs;kernel__create_and_map_pages__impl0__check_io_space_va_range_free.rs;kernel__mem_util__impl0__get_address_space_va_range_none.rs;kernel__schedule_idle_cpu__impl0__schedule_idle_cpu.rs;kernel__syscall_new_proc_with_iommu__impl0__syscall_new_proc_with_endpoint_iommu.rs;kernel__syscall_receive_endpoint__impl0__syscall_receive_endpoint.rs;kernel__syscall_send_empty_try_schedule__impl0__syscall_send_empty_try_schedule.rs;kernel__syscall_send_endpoint__impl0__syscall_send_endpoint.rs,,kernel/kernel__create_and_map_pages__impl0__check_address_space_va_range_free.rs;kernel/kernel__create_and_map_pages__impl0__check_io_space_va_range_free.rs;kernel/kernel__mem_util__impl0__get_address_space_va_range_none.rs;kernel/kernel__schedule_idle_cpu__impl0__schedule_idle_cpu.rs;kernel/kernel__syscall_new_proc_with_iommu__impl0__syscall_new_proc_with_endpoint_iommu.rs;kernel/kernel__syscall_receive_endpoint__impl0__syscall_receive_endpoint.rs;kernel/kernel__syscall_send_empty_try_schedule__impl0__syscall_send_empty_try_schedule.rs;kernel/kernel__syscall_send_endpoint__impl0__syscall_send_endpoint.rs
atmosphere,kernel_kill_proc_recursive_non_root,Kernel,yes,kernel/verified/kernel/kernel_kill_proc.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,kill_container_none_root,ProcessManager,yes,kernel/verified/process_manager/impl_kill_container.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,map_entry_to_page_entry,,yes,kernel/verified/pagetable/entry.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,mmu_man_init,MMUManager,yes,kernel/verified/memory_manager/mmu_init.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,page_to_container,,yes,kernel/verified/process_manager/container_util_t.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,page_to_container_tree_version,,yes,kernel/verified/process_manager/container_util_t.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,page_to_endpoint,,yes,kernel/verified/process_manager/endpoint_util_t.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,page_to_proc,,yes,kernel/verified/process_manager/proc_util_t.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,pagetable_array_map_4k_page_t,Array,yes,kernel/verified/memory_manager/mmu_util.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,proc_perms_update_subtree_set,,yes,kernel/verified/process_manager/proc_util_t.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,proc_push_child,,yes,kernel/verified/process_manager/proc_util_t.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,push_unique,ArrayVec,yes,kernel/verified/array_vec.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,remove_io_mapping_4k,PageAllocator,yes,kernel/verified/allocator/page_allocator_spec_impl.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,remove_io_mapping_4k_helper2,PageAllocator,no,kernel/verified/allocator/page_allocator_spec_impl.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,remove_io_mapping_4k_helper3,PageAllocator,no,kernel/verified/allocator/page_allocator_spec_impl.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,remove_l4_entry,PageTable,yes,kernel/verified/pagetable/pagetable_impl_base.rs,defined_in_unverified_files,Function has a fn definition/signature in one or more unverified task files.,pagetable__pagetable_impl_base__impl0__remove_l4_entry.rs,,pagetable/pagetable__pagetable_impl_base__impl0__remove_l4_entry.rs,
atmosphere,remove_mapping_4k,PageAllocator,yes,kernel/verified/allocator/page_allocator_spec_impl.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,resolve,PcidAllocator,yes,kernel/verified/pcid_alloc.rs,defined_in_unverified_files,Function has a fn definition/signature in one or more unverified task files.,kernel__create_and_map_pages__impl0__alloc_and_map.rs;kernel__create_and_map_pages__impl0__alloc_and_map_io.rs;kernel__create_and_map_pages__impl0__check_address_space_va_range_free.rs;kernel__create_and_map_pages__impl0__check_io_space_va_range_free.rs;kernel__create_and_map_pages__impl0__range_alloc_and_map.rs;kernel__create_and_map_pages__impl0__range_alloc_and_map_io.rs;kernel__create_and_share_pages__impl0__check_address_space_va_range_shareable.rs;kernel__create_and_share_pages__impl0__create_entry_and_share.rs,,kernel/kernel__create_and_map_pages__impl0__alloc_and_map.rs;kernel/kernel__create_and_map_pages__impl0__alloc_and_map_io.rs;kernel/kernel__create_and_map_pages__impl0__check_address_space_va_range_free.rs;kernel/kernel__create_and_map_pages__impl0__check_io_space_va_range_free.rs;kernel/kernel__create_and_map_pages__impl0__range_alloc_and_map.rs;kernel/kernel__create_and_map_pages__impl0__range_alloc_and_map_io.rs;kernel/kernel__create_and_share_pages__impl0__check_address_space_va_range_shareable.rs;kernel/kernel__create_and_share_pages__impl0__create_entry_and_share.rs,
atmosphere,resolve_mapping_4k_l1,PageTable,yes,kernel/verified/pagetable/pagetable_util.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,resolve_mapping_4k_l2,PageTable,yes,kernel/verified/pagetable/pagetable_util.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,resolve_mapping_4k_l3,PageTable,yes,kernel/verified/pagetable/pagetable_util.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,resolve_mapping_l4,PageTable,yes,kernel/verified/pagetable/pagetable_util.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,scheduler_pop_head,,yes,kernel/verified/process_manager/container_util_t.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,set_dst,TrapFrameOption,yes,kernel/verified/trap.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,set_dst_fast,TrapFrameOption,yes,kernel/verified/trap.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,set_ioid,Quota,yes,kernel/verified/quota.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,set_mem_1g,Quota,yes,kernel/verified/quota.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,set_mem_2m,Quota,yes,kernel/verified/quota.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,set_mem_4k,Quota,yes,kernel/verified/quota.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,set_pcid,Quota,yes,kernel/verified/quota.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,set_self,TrapFrameOption,yes,kernel/verified/trap.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,set_to_none,TrapFrameOption,yes,kernel/verified/trap.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,split_2m_pages_to_pages,,yes,kernel/verified/allocator/page_allocator_util_t.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,split_2m_to_4k,PageAllocator,yes,kernel/verified/allocator/page_allocator_spec_impl.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,syscall_munmap,Kernel,yes,kernel/verified/old/syscall_munmap.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,syscall_new_endpoint,Kernel,yes,kernel/verified/kernel/syscall_new_endpoint.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,syscall_new_proc_with_endpoint_iommu,Kernel,yes,kernel/verified/kernel/syscall_new_proc_with_iommu.rs,defined_in_unverified_files,Function has a fn definition/signature in one or more unverified task files.,kernel__syscall_new_proc_with_iommu__impl0__syscall_new_proc_with_endpoint_iommu.rs,,kernel/kernel__syscall_new_proc_with_iommu__impl0__syscall_new_proc_with_endpoint_iommu.rs,
atmosphere,syscall_receive_empty_block,Kernel,yes,kernel/verified/kernel/syscall_receive_empty.rs,defined_in_unverified_files,Function has a fn definition/signature in one or more unverified task files.,kernel__syscall_receive_empty__impl0__syscall_receive_empty_block.rs,,kernel/kernel__syscall_receive_empty__impl0__syscall_receive_empty_block.rs,
atmosphere,syscall_receive_empty_no_block,Kernel,yes,kernel/verified/kernel/syscall_receive_empty.rs,defined_in_unverified_files,Function has a fn definition/signature in one or more unverified task files.,kernel__syscall_receive_empty__impl0__syscall_receive_empty_no_block.rs,,kernel/kernel__syscall_receive_empty__impl0__syscall_receive_empty_no_block.rs,
atmosphere,thread_set_error_code,,yes,kernel/verified/process_manager/thread_util_t.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,thread_set_state,,yes,kernel/verified/process_manager/thread_util_t.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,thread_set_trap_frame_full,,yes,kernel/verified/process_manager/thread_util_t.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,transfer_idle_cpu,ProcessManager,yes,kernel/verified/process_manager/impl_kill_container.rs,defined_in_unverified_files,Function has a fn definition/signature in one or more unverified task files.,process_manager__impl_kill_container__impl0__transfer_idle_cpu.rs,,process_manager/process_manager__impl_kill_container__impl0__transfer_idle_cpu.rs,
atmosphere,unmap_4k_page,PageTable,yes,kernel/verified/pagetable/pagetable_impl_base.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,va21gindex,,yes,kernel/verified/util/page_ptr_util_u.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,va22mindex,,yes,kernel/verified/util/page_ptr_util_u.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,va_range_disjoint,,yes,kernel/verified/va_range.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
atmosphere,zeroed_none,TrapFrameOption,yes,kernel/verified/trap.rs,source_repo_only_no_task_content_match,Function was found in the cloned source repo scan but not in VeruSAGE source-project task file contents.,,,,
ironkv,_is_marshalable,,no,ironsht/src/marshal_v.rs,defined_in_unverified_files,Function has a fn definition/signature in one or more unverified task files.,marshal_v__impl4__is_marshalable.rs,,marshal_v/marshal_v__impl4__is_marshalable.rs,
